Weekly SST data starts week centered on 3Jan1990 
Nino34
"Date","SST","SSTA"
"2005May18",28.2,0.4
"2005May25",28.2,0.4
"2005Jun01",28.1,0.3
"2005Jun08",28.1,0.4
"2005Jun15",28.1,0.4
"2005Jun22",28,0.5
"2005Jun29",28,0.5
"2005Jul06",27.8,0.4
"2005Jul13",27.6,0.3
"2005Jul20",27.3,0.2
"2005Jul27",27.1,0.1
"2005Aug03",26.9,-0.1
"2005Aug10",26.9,0
"2005Aug17",27,0.2
"2005Aug24",26.9,0.1
"2005Aug31",26.7,-0.1
"2005Sep07",26.5,-0.3
"2005Sep14",26.4,-0.3
"2005Sep21",26.8,0.1
"2005Sep28",26.7,0
"2005Oct05",26.9,0.2
"2005Oct12",26.9,0.2
"2005Oct19",26.7,0
"2005Oct26",26.6,-0.1
"2005Nov02",26.5,-0.2
"2005Nov09",26.3,-0.4
"2005Nov16",26.5,-0.2
"2005Nov23",26.3,-0.3
"2005Nov30",26.1,-0.5
"2005Dec07",26,-0.6
"2005Dec14",25.8,-0.7
"2005Dec21",25.8,-0.8
"2005Dec28",25.9,-0.7
"2006Jan04",25.8,-0.7
"2006Jan11",25.7,-0.9
"2006Jan18",25.5,-1.1
"2006Jan25",25.5,-1.1
"2006Feb01",25.8,-0.9
"2006Feb08",26,-0.7
"2006Feb15",26.1,-0.6
"2006Feb22",26.3,-0.5
"2006Mar01",26.1,-0.9
"2006Mar08",26.4,-0.7
"2006Mar15",26.5,-0.7
"2006Mar22",26.7,-0.6
"2006Mar29",27,-0.5
"2006Apr05",27.3,-0.3
"2006Apr12",27.7,0
"2006Apr19",27.7,-0.1
"2006Apr26",27.7,-0.1
"2006May03",27.7,-0.1
"2006May10",27.8,0
"2006May17",28.1,0.2
"2006May24",28,0.2
"2006May31",28,0.3
"2006Jun07",28,0.3
"2006Jun14",27.9,0.3
"2006Jun21",27.8,0.2
"2006Jun28",27.6,0.1
"2006Jul05",27.5,0.1
"2006Jul12",27.3,0
"2006Jul19",27.3,0.1
"2006Jul26",27.3,0.2
"2006Aug02",27.2,0.2
"2006Aug09",27.1,0.2
"2006Aug16",27.2,0.4
